mpid,formula
mp-10000,Hf4S2
mp-10003,Nb8Co2Si2
mp-10006,Tl2Ag2Te4
mp-10010,Al1Co2Si2
mp-1001022,Cu8P4Pd8
mp-10013,Sn4S4
mp-1001571,Ca1Fe1O3
mp-1001581,Li1C6
mp-1001600,Hf4B48
mp-1001602,B48W4
mp-1001603,Lu2Ni2C4
mp-1001604,Lu3Tl3S6
mp-1001605,Pr1Bi1
mp-1001606,Lu2Fe2C4
mp-1001611,Lu3Tl3Se6
mp-1001612,Lu4Si4
mp-1001613,Lu4Ga4
mp-1001614,Lu2Co2C4
mp-1001787,Li2Rh6
mp-1001789,Ir4C4
mp-1001827,Ir1C1
mp-1001831,Li8B8
mp-1001833,In4Bi4
mp-1001834,Hf1N1
mp-1001835,Li2B2
mp-1001836,Mn1Ga1
mp-1001844,Ho1N1
mp-1001913,Ho1Bi1
mp-1001914,Li8Sn4Ir4
mp-1001918,Hf1C1
mp-1001925,La1C1
mp-1002105,V1N1
mp-1002106,Hf1Pd1
mp-1002107,La4Rh4
mp-1002109,V1Co1
mp-1002115,La4Pd4
mp-1002117,Tc1N1
mp-1002122,Hf1Ir1
mp-1002124,Hf4C4
mp-1002133,La4Ga4
mp-1002136,La4Au4
mp-1002184,Tc4B4
mp-1002188,Tc1B1
mp-1002197,Ru1N1
mp-1002206,Si4C4
mp-1002207,Re1N1
mp-1002210,Eu1S1
mp-1002219,Tl4Sb4
mp-1002220,Tm1Sb1
mp-1002222,Tl4N4
mp-1002223,Dy1P1
mp-1002224,Er1P1
mp-1002226,Er1As1
mp-1002228,Pt1C1
mp-10025,Si4Ru8
mp-10032,Ge8Os4
mp-10036,Ce3Al1C1
mp-10037,Al1Co3C1
mp-10038,Er3Al1C1
mp-10039,Pr3Al1C1
mp-1004,Nb3Si1
mp-10040,Al1Pt3C1
mp-1004377,Hf1B6
mp-1004524,H1Pb1I3
mp-1004530,Cs2B2Pb2I4F8
mp-10046,V4As2C2
mp-10049,Mn3As3Ru3
mp-10051,Te4As4
mp-10055,Co4B8Mo2
mp-10056,U1Co3B2
mp-10057,V4Co4B12
mp-1005719,Sm3Np1
mp-1005727,Tm1Np3
mp-1005753,Sm8Al4Ge24
mp-1005754,Sm4H4S4O20
mp-1005755,Sm8Ge16Pt8
mp-1005760,Tl6Os2
mp-1005761,Sm2Gd6
mp-1005762,Sm6Au2
mp-1005792,Sm8Cu4As12O4
mp-10058,Yb1Co3B2
mp-1005895,Sm6Gd2
mp-10059,Zr1Co3B2
mp-1005955,Tm6Ni14B4
mp-1005986,Zr18Co2Mo8
mp-10060,Dy1B1Pd3
