mpid,formula
mp-10000,Hf4S2
mp-10004,Mo24P8
mp-10006,Tl2Ag2Te4
mp-10009,Ga4Te4
mp-1001,Ba4N8
mp-10010,Al1Co2Si2
mp-1001011,Ta8O24
mp-1001012,Sc16Zn8S32
mp-1001016,Sc16Zn8Se32
mp-1001017,Zn8In16Se32
mp-1001022,Cu8P4Pd8
mp-1001023,Be2C4
mp-1001079,Li4C8N8
mp-1001080,H8C4O12
mp-1001082,Si4C8O8
mp-1001112,Na16H24C8O48
mp-1001117,Mn3N2
mp-10013,Sn4S4
mp-10015,Si1Os1
mp-1001581,Li1C6
mp-1001600,Hf4B48
mp-1001603,Lu2Ni2C4
mp-1001604,Lu3Tl3S6
mp-1001605,Pr1Bi1
mp-1001606,Lu2Fe2C4
mp-1001611,Lu3Tl3Se6
mp-1001612,Lu4Si4
mp-1001613,Lu4Ga4
mp-1001614,Lu2Co2C4
mp-1001615,Li1Zr1Se2
mp-1001780,Lu1Cu1S2
mp-1001783,Li3Sn3S6
mp-1001784,Li3Ti3S6
mp-1001785,Mo4P4
mp-1001786,Li3Sc3S6
mp-1001787,Li2Rh6
mp-1001788,Zr1B6
mp-1001790,Li2O6
mp-1001793,K6Co6Cl18
mp-1001825,Li2Be2
mp-1001826,V4N4
mp-1001827,Ir1C1
mp-1001831,Li8B8
mp-1001833,In4Bi4
mp-1001835,Li2B2
mp-1001836,Mn1Ga1
mp-1001843,Ho1P1
mp-1001844,Ho1N1
mp-1001918,Hf1C1
mp-1001925,La1C1
mp-10020,Sc4C4
mp-1002063,Sn4S8
mp-1002069,Na1Li1I1Cl1
mp-1002080,Cs1Li1I1Cl1
mp-1002081,K1Na1I1Cl1
mp-1002083,Cs1K1I1Cl1
mp-1002104,La4Pt4
mp-1002105,V1N1
mp-1002107,La4Rh4
mp-1002115,La4Pd4
mp-1002117,Tc1N1
mp-1002122,Hf1Ir1
mp-1002123,K3Zr3S6
mp-1002133,La4Ga4
mp-1002136,La4Au4
mp-1002183,Tc1B1
mp-1002188,Tc1B1
mp-1002197,Ru1N1
mp-1002206,Si4C4
mp-1002207,Re1N1
mp-1002210,Eu1S1
mp-1002219,Tl4Sb4
mp-1002223,Dy1P1
mp-1002224,Er1P1
mp-1002227,Rb4Sb4
mp-1002228,Pt1C1
mp-1002230,Pu1Bi1
mp-10025,Si4Ru8
mp-1002568,Mg1Mn2O4
mp-1002569,Mg2Mn2O4
mp-1002570,K2Mn2O4
mp-1002571,Na1Mn2O4
mp-1002572,Li2Mn2O4
mp-1002573,Mn2H2O4
mp-1002574,K2Mn2O4
mp-10026,Sc2Te2
mp-10027,Ti2Se2
mp-1003,Tb8Ge16
mp-10030,Ru1C1
mp-10032,Ge8Os4
mp-10033,Nb2S4
mp-1003311,Ca1Mn2O4
mp-1003312,K2Mn8O16
mp-1003313,Li4Mn6O12
mp-1003314,K1Mn2O4
mp-1003317,Mn6H2O12
mp-1003322,Ca2Mn2O4
mp-1003402,Ca3Mn3O6
mp-1003437,K8Mn16O32
mp-1003484,Mg1Mn4O8
mp-1003485,Mg4Mn6O12
mp-1003486,Ca16Mn16O32
mp-1003548,Ca8Mn16O32
mp-1003636,Na4Mn16O32
mp-1003637,Li2Mn6O12
mp-1003639,Ca12Mn16O32
mp-1003641,Mg8Mn16O32
mp-1003735,Mg8Mn16O32
mp-1003736,Na8Mn16O32
mp-1003764,K12Mn16O32
mp-1003765,Mn24H12O48
mp-1003766,Na2Mn4O8
mp-1003767,Na12Mn24O48
mp-1003769,Li6Mn8O16
mp-1003770,Mg4Mn8O16
mp-1003771,Mg4Mn24O48
mp-1003854,K8Mn8O16
mp-10040,Al1Pt3C1
mp-1004037,Ca4Mn4O8
mp-10041,Tb3Al1C1
mp-1004373,Li4Mn4O8
mp-1004376,Na8Mn16O32
mp-10045,Ba10As6
mp-1004524,H1Pb1I3
mp-1004526,W2S2
mp-1004530,Cs2B2Pb2I4F8
mp-10046,V4As2C2
mp-10047,Ca10As6
mp-1004756,Nd4B48
mp-1004758,Mn6H4O12
mp-1004762,Li4Mn16O32
mp-10048,Ga1As1
mp-10049,Mn3As3Ru3
mp-1005,Fe4P4
mp-10052,Ti2As2
mp-10054,Zr4As4
mp-10055,Co4B8Mo2
mp-10056,U1Co3B2
mp-1005666,Sc6Al6C4O10
mp-1005690,Sm2Co12P7
mp-10057,V4Co4B12
mp-1005727,Tm1Np3
mp-1005755,Sm8Ge16Pt8
mp-1005760,Tl6Os2
mp-1005762,Sm6Au2
mp-1005789,Sm8Ga36Co12
mp-1005792,Sm8Cu4As12O4
mp-10058,Yb1Co3B2
mp-1005829,Sm2Mn12P7
mp-10059,Zr1Co3B2
mp-1005955,Tm6Ni14B4
mp-1005986,Zr18Co2Mo8
mp-1006059,Tl6Bi2
mp-1006099,Lu8B32Rh32
mp-1006127,Pa6Mo2
mp-1006132,Hf6Pb2
mp-1006146,Eu1Mg2Bi2
